model_spec,term,variable,level,reference_group,beta,std_error,z_value,p_value,significance,odds_ratio,ci_lower,ci_upper,direction,abs_log_odds
05_glm_controlled_core,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Pensioner]",DIAG_NAME_INCOME_TYPE,Pensioner,Working,-0.22612830019443328,0.02865231624619449,-7.892147296275461,2.9703085346833404e-15,***,0.7976157608434417,0.7540581378003868,0.8436894584834703,Lower odds of default,0.22612830019443328
05_glm_controlled_core,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.State servant]",DIAG_NAME_INCOME_TYPE,State servant,Working,-0.420261625813347,0.030911162203962655,-13.595788571141837,4.241641750751638e-42,***,0.6568749418912468,0.6182598810291147,0.6979018088096027,Lower odds of default,0.420261625813347
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Academic degree]",DIAG_NAME_EDUCATION_TYPE,Academic degree,Secondary / secondary special,-1.6603355788765939,0.5904757020968749,-2.8118609673191854,0.0049255788824460155,**,0.1900751841810617,0.05974637922613483,0.6046989978207888,Lower odds of default,1.6603355788765939
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Higher education]",DIAG_NAME_EDUCATION_TYPE,Higher education,Secondary / secondary special,-0.5535769806117775,0.018665858709753597,-29.657193339972793,2.7393885976561394e-193,***,0.5748897586737877,0.5542378282839361,0.5963112183289871,Lower odds of default,0.5535769806117775
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Incomplete higher]",DIAG_NAME_EDUCATION_TYPE,Incomplete higher,Secondary / secondary special,-0.3064816891337179,0.03737070823353807,-8.201120707117564,2.381562464064543e-16,***,0.7360319954394173,0.6840481758242757,0.7919662933940755,Lower odds of default,0.3064816891337179
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Lower secondary]",DIAG_NAME_EDUCATION_TYPE,Lower secondary,Secondary / secondary special,0.2539500678453944,0.05398875334012925,4.703758692954225,2.5541510651536254e-06,***,1.2891074347490281,1.1596683461282624,1.432994169301419,Higher odds of default,0.2539500678453944
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.2. 1x-2x]",DIAG_CREDIT_INCOME_GROUP,2. 1x-2x,1. <=1x,0.20731988255356118,0.03765391179749189,5.505932123827057,3.6722000771458315e-08,***,1.23037608468225,1.1428436331414573,1.3246128042878524,Higher odds of default,0.20731988255356118
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.3. 2x-4x]",DIAG_CREDIT_INCOME_GROUP,3. 2x-4x,1. <=1x,0.35279565570855836,0.03942169267057235,8.949277207772322,3.578175462248927e-19,***,1.4230403235543132,1.3172293559001682,1.5373509202409856,Higher odds of default,0.35279565570855836
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.4. 4x-6x]",DIAG_CREDIT_INCOME_GROUP,4. 4x-6x,1. <=1x,0.24927330071788442,0.04246796587984021,5.869678369413401,4.366413658120353e-09,***,1.283092655298781,1.1806175122911238,1.3944624274518764,Higher odds of default,0.24927330071788442
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.5. >6x]",DIAG_CREDIT_INCOME_GROUP,5. >6x,1. <=1x,0.12425403621709091,0.04547219274497525,2.7325279190725014,0.0062850344477178325,**,1.1323034805588061,1.0357545305497555,1.2378523426830395,Higher odds of default,0.12425403621709091
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.2. 10-20%]",DIAG_ANNUITY_INCOME_GROUP,2. 10-20%,1. <=10%,-0.032666238013994875,0.023595828060241335,-1.3844073592414865,0.1662337568162474,,0.9678615410766901,0.9241201242437935,1.0136733722381512,Lower odds of default,0.032666238013994875
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.3. 20-30%]",DIAG_ANNUITY_INCOME_GROUP,3. 20-30%,1. <=10%,0.12002265037429044,0.028815154784570345,4.165261344997494,3.1099610056974286e-05,***,1.1275223900943026,1.0656084864547148,1.193033610677795,Higher odds of default,0.12002265037429044
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.4. 30-40%]",DIAG_ANNUITY_INCOME_GROUP,4. 30-40%,1. <=10%,0.13444142396201392,0.037203353674424136,3.6136909897571194,0.0003018688063502057,***,1.143897652047595,1.063456221921316,1.230423793088509,Higher odds of default,0.13444142396201392
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.5. 40-60%]",DIAG_ANNUITY_INCOME_GROUP,5. 40-60%,1. <=10%,0.24125131090301663,0.05340083760907258,4.517743947559898,6.25020005346161e-06,***,1.2728408739065002,1.146355285440474,1.4132825231965926,Higher odds of default,0.24125131090301663
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.6. 60%+]",DIAG_ANNUITY_INCOME_GROUP,6. 60%+,1. <=10%,0.29898091032374,0.1262783007071557,2.3676348877792424,0.017902192925536412,*,1.3484838811064725,1.0528281178418444,1.7271658562192165,Higher odds of default,0.29898091032374
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.Other rare]",DIAG_ANNUITY_INCOME_GROUP,Other rare,1. <=10%,-20.284736242577672,0.329136785563201,-61.63010982764365,0.0,***,1.550425786799611e-09,8.133720473276872e-10,2.9553758679940885e-09,Lower odds of default,20.284736242577672
05_glm_controlled_core,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.25%-50%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,25%-50%,No bureau debt,0.3120494520723144,0.022140677807151263,14.093943048641668,4.1379684565146635e-45,***,1.3662222538806506,1.308203106235653,1.426814565797623,Higher odds of default,0.3120494520723144
05_glm_controlled_core,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.50%-100%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,50%-100%,No bureau debt,0.6447671859615964,0.020575713984437697,31.33632137622353,1.4943499638742354e-215,***,1.905543340384998,1.830226130129022,1.98395999396514,Higher odds of default,0.6447671859615964
05_glm_controlled_core,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.<=25%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,<=25%,No bureau debt,0.09978426647150634,0.02273543765096989,4.388930972140295,1.139092147992442e-05,***,1.1049325213699084,1.0567769126351898,1.1552825030369698,Higher odds of default,0.09978426647150634
05_glm_controlled_core,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.>100%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,>100%,No bureau debt,1.1154877858578178,0.0698477000020888,15.970286578147299,2.0583799811488097e-57,***,3.0510560782715044,2.6606988382917685,3.4986835258416744,Higher odds of default,1.1154877858578178
05_glm_controlled_core,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.No bureau history]",DIAG_BUREAU_DEBT_CREDIT_GROUP,No bureau history,No bureau debt,0.5430922229925834,0.022428887885203395,24.21396128832887,1.5858131029050563e-129,***,1.721321350616507,1.6472914778036225,1.7986781525992064,Higher odds of default,0.5430922229925834
05_glm_controlled_core,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.25%-50% refusal]",DIAG_PREVIOUS_REFUSAL_GROUP,25%-50% refusal,0% refusal,0.4111360049239712,0.018440264297938363,22.295559232843345,4.0804159067263816e-110,***,1.508530510184136,1.4549823224556202,1.564049449285197,Higher odds of default,0.4111360049239712
05_glm_controlled_core,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.<=25% refusal]",DIAG_PREVIOUS_REFUSAL_GROUP,<=25% refusal,0% refusal,0.11219642220884513,0.019782219453997215,5.671579089988035,1.4148725481884142e-08,***,1.1187325829902226,1.076186726738547,1.162960442782003,Higher odds of default,0.11219642220884513
05_glm_controlled_core,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.>50% refusal]",DIAG_PREVIOUS_REFUSAL_GROUP,>50% refusal,0% refusal,0.766278121435081,0.02828645153230293,27.089934577336315,1.2938349503622471e-161,***,2.1517428064699913,2.0356958371819176,2.274405154556299,Higher odds of default,0.766278121435081
05_glm_controlled_core,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.No previous application]",DIAG_PREVIOUS_REFUSAL_GROUP,No previous application,0% refusal,0.023915547006018636,0.08201690229775062,0.2915929075106576,0.770597898875738,,1.0242038171592438,0.872114437846712,1.2028162974501095,Higher odds of default,0.023915547006018636
05_glm_controlled_core,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.Late 10%-30%]",DIAG_LATE_PAYMENT_GROUP,Late 10%-30%,No late payment,0.3259757862341918,0.017926124140717026,18.1843985724598,6.8603893096865526e-74,***,1.3853818231556314,1.337552201969089,1.4349217870558864,Higher odds of default,0.3259757862341918
05_glm_controlled_core,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.Late <=10%]",DIAG_LATE_PAYMENT_GROUP,Late <=10%,No late payment,0.08801104170640242,0.018376317458244328,4.789373165019919,1.6730310516761891e-06,***,1.0920001795070033,1.053369550072413,1.1320475249748319,Higher odds of default,0.08801104170640242
05_glm_controlled_core,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.Late >30%]",DIAG_LATE_PAYMENT_GROUP,Late >30%,No late payment,0.6516126110331177,0.02532895614724844,25.725995467203823,5.98468408987401e-146,***,1.9186323433242338,1.8257096654296112,2.0162844829895894,Higher odds of default,0.6516126110331177
05_glm_controlled_core,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.No installment history]",DIAG_LATE_PAYMENT_GROUP,No installment history,No late payment,0.08287973269059562,0.08359172854287644,0.9914824604695712,0.32145005268107485,,1.0864111409460466,0.9222333054400028,1.2798162462898344,Higher odds of default,0.08287973269059562
05_glm_controlled_core,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.30%-70%]",DIAG_CC_UTILIZATION_GROUP,30%-70%,No credit card history,0.16709654466000254,0.024885998534169076,6.714480209848721,1.8873778988172492e-11,***,1.1818683628797793,1.1256052419265345,1.240943783084564,Higher odds of default,0.16709654466000254
05_glm_controlled_core,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.70%-100%]",DIAG_CC_UTILIZATION_GROUP,70%-100%,No credit card history,0.5218593691757315,0.026146660062638754,19.958930430331407,1.2536677423611046e-88,***,1.6851580694645865,1.6009750616131462,1.7737676164800875,Higher odds of default,0.5218593691757315
05_glm_controlled_core,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.<=30%]",DIAG_CC_UTILIZATION_GROUP,<=30%,No credit card history,-0.16246876183303086,0.031371842967191844,-5.1788083346884655,2.2330775008037675e-07,***,0.8500426435846881,0.799349949955786,0.9039501359228361,Lower odds of default,0.16246876183303086
05_glm_controlled_core,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.>100%]",DIAG_CC_UTILIZATION_GROUP,>100%,No credit card history,0.9829026842778402,0.07588151588738871,12.953123995789808,2.2558363647841356e-38,***,2.6722015528297227,2.3029194544618874,3.100699473058256,Higher odds of default,0.9829026842778402
05_glm_controlled_core,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.Unknown]",DIAG_CC_UTILIZATION_GROUP,Unknown,No credit card history,0.404678641955318,0.1071264892632522,3.7775777470020726,0.00015836107671427532,***,1.4988207645458984,1.2149641633947008,1.848995840302947,Higher odds of default,0.404678641955318
05_glm_controlled_core,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.Zero/no utilization]",DIAG_CC_UTILIZATION_GROUP,Zero/no utilization,No credit card history,-0.3697213326540165,0.028878643335460388,-12.802586615972775,1.5857970488616826e-37,***,0.6909268425622008,0.652905789469942,0.7311619983650788,Lower odds of default,0.3697213326540165
06_glm_controlled_plus_underpayment_sensitivity,Intercept,Intercept,Intercept,,-3.143735340543282,,,,,0.043121423493955396,0.0,0.0,Lower odds of default,3.143735340543282
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.1. <=30]",DIAG_AGE_GROUP,1. <=30,3. 41-50,0.4280316376579873,,,,,1.5342346197899215,0.0,0.0,Higher odds of default,0.4280316376579873
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.2. 31-40]",DIAG_AGE_GROUP,2. 31-40,3. 41-50,0.245547508751031,,,,,1.2783210135829313,0.0,0.0,Higher odds of default,0.245547508751031
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.4. 51-60]",DIAG_AGE_GROUP,4. 51-60,3. 41-50,-0.20301693627205178,,,,,0.8162644168323121,0.0,0.0,Lower odds of default,0.20301693627205178
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.5. 61+]",DIAG_AGE_GROUP,5. 61+,3. 41-50,-0.34268307363378214,,,,,0.7098631502625478,0.0,0.0,Lower odds of default,0.34268307363378214
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_CONTRACT_TYPE, Treatment(reference='Cash loans'))[T.Revolving loans]",DIAG_NAME_CONTRACT_TYPE,Revolving loans,Cash loans,-0.37094581576654684,,,,,0.6900813320737904,0.0,0.0,Lower odds of default,0.37094581576654684
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Commercial associate]",DIAG_NAME_INCOME_TYPE,Commercial associate,Working,-0.19943389820361265,,,,,0.8191943692426474,0.0,0.0,Lower odds of default,0.19943389820361265
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Other rare]",DIAG_NAME_INCOME_TYPE,Other rare,Working,0.7894561968921235,,,,,2.202198538168607,0.0,0.0,Higher odds of default,0.7894561968921235
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Pensioner]",DIAG_NAME_INCOME_TYPE,Pensioner,Working,-0.22629704993529853,,,,,0.7974811747464932,0.0,0.0,Lower odds of default,0.22629704993529853
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.State servant]",DIAG_NAME_INCOME_TYPE,State servant,Working,-0.419018816823659,,,,,0.6576918194803917,0.0,0.0,Lower odds of default,0.419018816823659
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Academic degree]",DIAG_NAME_EDUCATION_TYPE,Academic degree,Secondary / secondary special,-1.6565058857476822,,,,,0.19080450946251587,0.0,0.0,Lower odds of default,1.6565058857476822
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Higher education]",DIAG_NAME_EDUCATION_TYPE,Higher education,Secondary / secondary special,-0.5542249710557224,,,,,0.5745173562734743,0.0,0.0,Lower odds of default,0.5542249710557224
06_glm_controlled_plus_underpayment_sensitivity,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Incomplete higher]",DIAG_NAME_EDUCATION_TYPE,Incomplete higher,Secondary / secondary special,-0.30838066236369854,,,,,0.7346356166462655,0.0,0.0,Lower odds of default,0.30838066236369854
