model_spec,description,variable,level,reference_group,n_rows_used,average_marginal_effect,average_marginal_effect_pp,median_marginal_effect,min_marginal_effect,max_marginal_effect,direction
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_LATE_PAYMENT_GROUP,Late <=10%,No late payment,307511,0.005751250271274311,0.5751250271274311,0.0056259277675560215,0.003971594608130714,0.014713773164596933,Higher predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_LATE_PAYMENT_GROUP,Late >30%,No late payment,307511,0.06520499475720472,6.520499475720472,0.06408819282397969,0.046145296406883106,0.1479635294144131,Higher predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_LATE_PAYMENT_GROUP,No installment history,No late payment,307511,-0.008526251919409747,-0.8526251919409746,-0.00833002164303119,-0.022499187928876785,-0.005853206289409468,Lower predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_CC_UTILIZATION_GROUP,30%-70%,No credit card history,307511,0.01646231250154991,1.646231250154991,0.015709989406308786,0.012980168994206051,0.025999985810629178,Higher predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_CC_UTILIZATION_GROUP,70%-100%,No credit card history,307511,0.06558846928704126,6.558846928704126,0.06290257179541482,0.05247852872609805,0.10012476219210914,Higher predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_CC_UTILIZATION_GROUP,<=30%,No credit card history,307511,-0.01199617506563128,-1.199617506563128,-0.011413387627190116,-0.019330619051148787,-0.009378176410162482,Lower predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_CC_UTILIZATION_GROUP,>100%,No credit card history,307511,0.16085518431499488,16.085518431499487,0.15562416335380497,0.13236715167091845,0.23041165454719745,Higher predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_CC_UTILIZATION_GROUP,Unknown,No credit card history,307511,0.040954370193521286,4.095437019352128,0.039181170877228444,0.03252894707191792,0.06358797514037251,Higher predicted default probability
04_glm_payment_behavior_only,Research GLM: payment behavior only,DIAG_CC_UTILIZATION_GROUP,Zero/no utilization,No credit card history,307511,-0.0241231546829737,-2.4123154682973698,-0.022920889338916325,-0.039209452596587605,-0.018789740825869296,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_AGE_GROUP,1. <=30,3. 41-50,307511,0.03496794360290031,3.4967943602900307,0.03188642438526754,0.0,0.10779450682143588,Higher predicted default probability
