calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap,observed_non_defaults,expected_non_defaults,hl_component_default,hl_component_non_default,hl_component_total
3,7688,333,0.043314255983350675,328.88457344491763,0.04277895076026504,0.03862033316559483,0.047037416905305295,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0005353052230856331,0.0005353052230856331,5.353191491821259e-05,7355,7359.115426555082,0.051497507325506134,0.0023014635249717437,0.05379897085047788
4,7687,379,0.04930401977364381,393.9873400040159,0.05125371926681617,0.0470393149803932,0.05556784882335566,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0019496994931723563,0.0019496994931723563,0.00019494966055329097,7308,7293.012659995984,0.570120756654555,0.030799392633451335,0.6009201492880063
5,7688,481,0.06256503642039542,463.06174579022536,0.06023175673650174,0.05556855750152027,0.06510835899296454,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0023332796838936784,0.0023332796838936784,0.00023333403847361532,7207,7224.938254209775,0.6948986112957274,0.04453753828372998,0.7394361495794574
6,7688,503,0.06542663891779396,545.1434169494863,0.0709083528810466,0.06511050269168736,0.07708988416576112,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0054817139632526435,0.0054817139632526435,0.0005481856571384053,7185,7142.856583050514,3.257982279440358,0.2486494823923043,3.5066317618326623
7,7687,637,0.08286717835306362,647.8413342087731,0.08427752493934866,0.07709232316850793,0.09206716229545936,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0014103465862850412,0.0014103465862850412,0.00014101998242375076,7050,7039.158665791227,0.1814248662748276,0.016697240821903096,0.1981221070967307
8,7688,777,0.10106659729448492,783.7861875977159,0.1019492959934594,0.09206872106858063,0.1131054949878339,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0008826986989744767,0.0008826986989744767,8.827216625973331e-05,6911,6904.213812402284,0.05875625628525441,0.0066701790185961585,0.06542643530385057
9,7688,1045,0.1359261186264308,991.9633873909189,0.1290274957584442,0.11310766682108989,0.1490159192516908,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.00689862286798662,0.00689862286798662,0.0006898802337350236,6643,6696.036612609081,2.835671470135002,0.42008167514324624,3.2557531452782484
10,7688,1595,0.2074661810613944,1572.474405018386,0.2045362129316319,0.149024648462992,0.7175272818126891,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0029299681297624836,0.0029299681297624836,0.0002930044353601027,6093,6115.525594981614,0.322677703151204,0.08296955370311777,0.40564725685432174
1,7688,188,0.02445369406867846,180.06432770029195,0.023421478629070232,0.006662864341976683,0.02984720515400981,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.0010322154396082278,0.0010322154396082278,0.00010322422929457134,7500,7507.935672299708,0.34973553980565436,0.008387777625838009,0.3581233174314924
2,7688,269,0.034989594172736734,264.1209561205165,0.034354963074989135,0.029849031877974656,0.03865238767425583,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.0006346310977475983,0.0006346310977475983,6.346476078310486e-05,7419,7423.879043879483,0.09012942224460686,0.003206554018083595,0.09333597626269045
