calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap
8,7688,793,0.1031477627471384,783.4394605154679,0.10190419621689228,0.0933768540390616,0.11308249002411405,spec::01_profile_only,01_profile_only,-0.0012435665302461124,0.0012435665302461124,0.00012435988819339879
9,7688,955,0.12421956295525494,908.9990711791486,0.11823609146450945,0.11308249002411405,0.1278387667775457,spec::01_profile_only,01_profile_only,-0.00598347149074549,0.00598347149074549,0.0005983627152221874
10,7688,1203,0.15647762747138397,1158.2928364862398,0.15066243970944848,0.1278387667775457,0.2268607988636532,spec::01_profile_only,01_profile_only,-0.005815187761935486,0.005815187761935486,0.0005815339045469448
1,7688,505,0.06568678459937564,504.68901633133225,0.06564633407015248,0.05859911012388425,0.07201397273405535,spec::02_affordability_only,02_affordability_only,-4.045052922316272e-05,4.045052922316272e-05,4.045158155358816e-06
2,7688,535,0.06958896982310094,555.4206963088694,0.07224514780292267,0.07201397273405535,0.07290528363147353,spec::02_affordability_only,02_affordability_only,0.0026561779798217333,0.0026561779798217333,0.00026562470809424654
3,7688,602,0.07830385015608742,560.6696459592008,0.07292789359510937,0.07290528363147353,0.07300116085178918,spec::02_affordability_only,02_affordability_only,-0.005375956560978043,0.005375956560978043,0.0005376096417804728
4,7687,516,0.0671263171588396,562.3956659060908,0.07316191829141289,0.07300116085178918,0.07346088646130829,spec::02_affordability_only,02_affordability_only,0.006035601132573287,0.006035601132573287,0.0006034973062006148
5,7688,614,0.07986472424557753,603.523745389095,0.07850204804748895,0.07346088646130829,0.08148235372084807,spec::02_affordability_only,02_affordability_only,-0.0013626761980885804,0.0013626761980885804,0.00013627116484436386
6,7688,613,0.07973465140478668,639.3115662377875,0.08315707157099213,0.08148235372084807,0.08523935133739534,spec::02_affordability_only,02_affordability_only,0.0034224201662054476,0.0034224201662054476,0.0003422509201304337
7,7687,667,0.08676987121113568,655.2348937305579,0.08523935133739534,0.08523935133739534,0.08523935133739534,spec::02_affordability_only,02_affordability_only,-0.001530519873740338,0.001530519873740338,0.00015303606063427741
8,7688,702,0.09131113423517169,655.3201330818954,0.08523935133739534,0.08523935133739534,0.08523935133739534,spec::02_affordability_only,02_affordability_only,-0.006071782897776351,0.006071782897776351,0.000607194085669562
9,7688,756,0.09833506763787721,683.2660682290038,0.0888743585105364,0.08523935133739534,0.08995290459760327,spec::02_affordability_only,02_affordability_only,-0.009460709127340802,0.009460709127340802,0.0009460955250005996
10,7688,696,0.09053069719042664,793.0523813064101,0.1031545761324675,0.08995290459760327,0.1167872531386092,spec::02_affordability_only,02_affordability_only,0.012623878942040853,0.012623878942040853,0.0012624207355343541
1,7688,352,0.045785639958376693,365.0750789482138,0.0474863526207354,0.041832576376522254,0.049217121435996165,spec::03_credit_history_only,03_credit_history_only,0.0017007126623587096,0.0017007126623587096,0.00017007569068151825
2,7688,396,0.051508844953173774,386.1784100204403,0.05023132284344957,0.049217121435996165,0.050933827327155894,spec::03_credit_history_only,03_credit_history_only,-0.001277522109724205,0.001277522109724205,0.00012775553447747976
3,7688,444,0.057752341311134235,394.13082854419144,0.051265716511991605,0.050933827327155894,0.05641223807652915,spec::03_credit_history_only,03_credit_history_only,-0.00648662479914263,0.00648662479914263,0.0006486793550275571
4,7687,466,0.060621829062052816,455.21014870443986,0.05921817987569141,0.05641223807652915,0.06221029212908448,spec::03_credit_history_only,03_credit_history_only,-0.0014036491863614053,0.0014036491863614053,0.00014035031212518697
5,7688,525,0.0682882414151925,512.8469699631723,0.06670746227408589,0.06221029212908448,0.07638746729969495,spec::03_credit_history_only,03_credit_history_only,-0.0015807791411066169,0.0015807791411066169,0.00015808202654631585
6,7688,587,0.07635275754422477,619.9009611673794,0.08063227902801501,0.07638746729969495,0.09096985150152444,spec::03_credit_history_only,03_credit_history_only,0.0042795214837902384,0.0042795214837902384,0.0004279632816589837
7,7687,697,0.09067256406920775,705.8159502186887,0.09181942893439426,0.09096985150152444,0.09225214125735998,spec::03_credit_history_only,03_credit_history_only,0.001146864865186517,0.001146864865186517,0.00011467455213050231
8,7688,696,0.09053069719042664,716.2654239628617,0.09316667845510689,0.09225214125735998,0.09412222566849705,spec::03_credit_history_only,03_credit_history_only,0.0026359812646802455,0.0026359812646802455,0.0002636049840378486
9,7688,786,0.1022372528616025,830.6245259237237,0.10804169171744585,0.09412222566849705,0.125495489134215,spec::03_credit_history_only,03_credit_history_only,0.00580443885584335,0.00580443885584335,0.0005804589859741886
10,7688,1257,0.16350156087408949,1206.783160895571,0.1569697139562397,0.125495489134215,0.6111318807066186,spec::03_credit_history_only,03_credit_history_only,-0.006531846917849776,0.006531846917849776,0.0006532016845447212
1,7688,408,0.053069719042663895,378.14020944281697,0.04918577125947151,0.0330764985350219,0.05532043199387546,spec::04_payment_behavior_only,04_payment_behavior_only,-0.0038839477831923847,0.0038839477831923847,0.00038840488250452737
2,7688,456,0.05931321540062435,460.3306171220723,0.05987651107206975,0.05532043199387546,0.06331195124205037,spec::04_payment_behavior_only,04_payment_behavior_only,0.0005632956714454046,0.0005632956714454046,5.633103257202673e-05
